searchTerm,jobTitle,companyName,companyLocation,salary,hiddenSalary,jobType,jobDesc,url,companyRating
Data Scientist,Junior Data Scientist,Newgate Communications,Melbourne VIC 3000,"$65,000 a year",$60000-$69999,,"About the Business and the Role:

Are you a junior data scientist or analyst with strong numeracy, research and communication skills developed over 2-4 years of experience, and who is interested in current affairs and what drives opinion? Are you interested in finding the story in the data? Are you keen to understand what goes on behind the scenes of the main stories in the news?

Newgate Research is seeking a talented junior data scientist to join our team in Melbourne. We are a specialist market and social research firm that helps corporates, governments and industry associations understand and measure the views of the community and other stakeholders. We work on issues, reputation and identifying the best ways for our clients to communicate and engage. Our findings help clients identify ways to shift knowledge, attitudes and behaviour and make decisions on the basis of objective fact and not gut feel or assumption.


Newgate Research is part of Newgate Communications, a strategic communications advisory firm with 80+ staff with offices in Sydney, Melbourne, Canberra, Brisbane and Perth. Newgate Communications works across public affairs, corporate communications, financial communications, stakeholder and community engagement and digital engagement.

Newgate Research uses a broad range of methodologies – from the traditional to the more innovative – including focus groups, in-depth interviews, deliberative forums, online communities, telephone surveys and online surveys. It was the 2016 Research Industry Council of Australia's Employer of the Year.


The role is based in Melbourne and is suitable for a recent university graduate with a degree in a relevant area such as market or social research, computer sciences, the hard or soft sciences (e.g. biology, physics psychology etc,.) or similar. You will have a sound level of understanding in statistics and analytical approaches to complex data sets.


This role will assist the Data Scientist and broader Newgate Research and Newgate Digital teams in design, analysis and reporting tasks related to data gathered from online networks and market and social research. The outputs will be used to inform strategic communications advice to clients. More broadly they will assist in driving innovation within Newgate Australia.

On the job training and professional development opportunities will be provided. You will have a mentor to guide you for questions and career planning and a team of experienced people around you to leverage off their knowledge and experience. We work collaboratively in teams, both within the research business and cross teams with the communications consultants. The role brings opportunities to learn, grow, develop and contribute to meaningful work within a high performing team environment.


Specific responsibilities will include:

Assisting with coordination of quantitative research projects, including project design, data analysis and reporting;
Assisting with preparation of new business proposals and tenders;
Assisting in the monitoring of industry developments and encouraging innovation within the business;
Assisting in new business development and/or development of new business lines; and
Playing a supporting role in the Analytics function, helping train other staff in advanced analytical methods and providing support in analytics tasks.


The ideal candidate will:

Be a self-starter who is comfortable working in a fast-paced consultancy environment;
Be well organised and have strong attention to detail;
Be a good team player;
Have strong writing and communications skills, particularly through explaining complex quantitative concepts to individuals unfamiliar to the domain;
Be available for qualitative research events on some evenings and for occasional interstate travel;
Have expertise in the full Microsoft Office suite, as well as in programming languages (such as SQL, R, Python, SAS etc.); and
Ideally have working knowledge of exposure to statistical software programs such as Q, SPSS or similar (training can be provided).


The position is available immediately and applicants should apply with their details, covering letter and a brief resume outlining why they are interested in this role and what they believe they can offer Newgate Research.",https://au.indeed.com/rc/clk?jk=f79b1e7f9c958683&fccid=c4e7588784d31d54&vjs=3,
Data Scientist,"Data Visualisation Specialist, Financial Services Risk Advisory - Sydney",EY,Sydney NSW,"$65,000 a year",$60000-$69999,Part-time,"Variety of work and career development opportunities
Be part of a high-performing, supportive culture
Work with a team of collaborators, innovators and the brightest minds in the industry
About EY

https://www.ey.com/au/shape-the-world
The opportunity

We’re looking for a Data Visualisation specialist to join our team! A person who is passionate about delivering insight through visualising data. A person who understands that the user experience (UX) should extend to all people within an organisation not just end customers. A person who thrives on sharing knowledge and actively seeks to train and educate others on improving how data is accessed and presented to decision makers. You will be part of a specialist risk data and analytics team with links into the broader EY D&A community. This is a key role supporting analytics and broader risk management offering to our financial services clients. You can expect to work with top tier clients across insurance, banking, wealth/ asset management and superannuation.
The role is offered is full time or part time and there are a variety of flexible working arrangements available. Sponsorship is also an option.
Key Responsibilities
You will be responsible for spreading data literacy and enthusiasm for data visualisation
You will design and develop dynamic dashboards/reports and interactive visualizations utilizing various reporting components from multiple data sources
You will identify opportunities to automate, optimize performance, consolidate and simplify dashboards
You will continuously look for innovation data visualisation solutions using new tools and technology and contribute to thought leadership at EY
You will educate and train your colleagues and clients to build reports, dashboards and connect to data while also providing visual best practices and design guidance to achieve data-driven decisions
Skills and Attributes for Success

We are looking for people who have most of the following skills and experience and/or have a willingness to learn. Unicorns are welcome.
5+ years of hands-on reporting design and development experience using one or more tools such as PowerBI, Tableau, Qlik, ThoughtSpot, Spotfire, MicroStrategy, Houdini
Intermediate SQL / data preparation skills are essential with additional programming in languages such as Python, R, Java, HTLM etc. an advantage
Experience with large data sets, analysing data, extracting relevant information and producing actionable and effective reporting dashboards and visual solutions user-friendly reports for a diverse set of users
Proven capability and desire to develop junior staff, build high performing teams and effectively delegate with appropriate levels of support
Ability to communicate effectively with business partners, data engineers, data scientist and analysts
Project management skills and experience managing multiple projects
Proven experience in collaborating with data engineers, analytics, reporting professionals and data scientists generating actionable insights
A risk mindset
Ideally you will also have
Experience on a cloud based big data platform such as AWS and Azure
Experience in engaging with both technical and non-technical stakeholders
Exceptional communication, documentation, project management and presentation skills
Insurance, Banking and Wealth Management experience an advantage but not essential
Risk management experience an advantage but not essential
Experience in (or a willingness to learn) how to performance tune dashboards/ reports and apply security roles
Experience in (or a willingness to learn) design thinking, prototyping, wire-framing, and other design tools

Who are FSO?

EY are the only professional services organisation offering a separate team dedicated exclusively to the financial services market. Join the Financial Services Organisation (FSO) and you will work with multi-disciplinary teams from around the world to deliver a global perspective to a range of high-profile companies. We provide a highly integrated team, combining the knowledge from across our service lines to provide advice and guidance to key industry groups including wealth and asset management, banking, capital markets and insurance.
Apply and see where a career with FSO Advisory can take you!
What working at EY offers

Our Total Rewards package includes:
formal or informal flexible working options e.g. remote working, flexible start and finish times - https://www.ey.com/au/eyflexibility
career and learning development e.g. EY badges (https://www.ey.com/gl/eybadges), career mentoring
an extensive range of wellbeing and benefit offerings e.g. Salary packaging, parental leave and support, health checks
Who we are

EY is an inclusive and equal opportunity employer (https://www.ey.com/au/eydiversityInclusion) offering a vast range of internal networks including Ability EY, our disability network, Unity, our LGBTI network and our Aboriginal and Torres Strait Islander network enabling us all to embrace and value the diverse society we live within. If you have any support or access requirements, we encourage you to advise us at the time of application via contactrecruitment@au.ey.com or +61 1800 017 666.
Join us in building a better working world. Apply now!
The preferred applicant will be subject to employment screening by EY or by their external third-party provider. Regarding these opportunities, the minimum salary for more junior positions is $65,000 including 9.5% superannuation .
© 2019 Ernst & Young Australia. All Rights Reserved. Liability limited by a scheme approved under Professional Standards Legislation.",https://au.indeed.com/rc/clk?jk=47a0ca61b3dc7517&fccid=1544766d4c2915b0&vjs=3,4.0
Data Scientist,"Insights Analyst, Financial Services Risk Advisory - Sydney",EY,Sydney NSW,"$65,000 a year",$60000-$69999,Part-time,"Variety of work and career development opportunities
Be part of a high-performing, supportive culture
Work with a team of collaborators, innovators and the brightest minds in the industry
About EY

https://www.ey.com/au/shape-the-world
The opportunity

We’re looking for insight analysts to join our team! A person who is passionate about delivering insight through data and analytics. A person who thrives on sharing knowledge and actively seeks to train and educate others on improving how data is accessed and presented to decision makers. You will be part of a specialist risk data and analytics team with links into the broader EY D&A community. This is a key role supporting analytics and broader risk management offering to our financial services clients. You can expect to work with top tier clients across insurance, banking, wealth/ asset management and superannuation.
The role is offered is full time or part time and there are a variety of flexible working arrangements available. Sponsorship is also an option.
Key Responsibilities

You will be responsible for spreading data literacy and enthusiasm for data, analytics and technology
You will be the translator between technical and non-technical stakeholders
You will define the requirements and technical specifications and deliver data and analytic use cases working collaboratively with other team members and our clients
You will peer review data and analytic assets providing recommendations
You will conduct data and analytic benchmarking using EY frameworks
You will act as a data / analytics subject matter resource (SMR) on one or more of the following topics: data migration; data transformation; data science; data visualisation; data governance; data privacy
Skills and Attributes for Success

We are looking for people who have most of the following skills and experience and/or have a willingness to learn. Unicorns are welcome.
2+ years of hands-on reporting design and development experience using one or more tools such as PowerBI, Tableau, Qlik, ThoughtSpot, Spotfire, MicroStrategy, Houdini
Intermediate SQL / data preparation skills are essential with additional programming in languages such as Python, R, Java, HTLM etc. an advantage
Experience with large data sets, analysing data, extracting relevant information and producing actionable insights
Ability to communicate effectively with business partners, data engineers, data scientist and analysts
Project management skills and experience managing multiple projects
Proven experience in collaborating with data engineers, analytics, reporting professionals and data scientists generating actionable insights
A risk mindset
Ideally you will also have
Experience on a cloud based big data platform such as AWS and Azure
Experience in engaging with both technical and non-technical stakeholders
Exceptional communication, documentation, project management and presentation skills
Insurance, Banking and Wealth Management experience an advantage but not essential
Risk management experience an advantage but not essential

Who are FSO?

EY are the only professional services organisation offering a separate team dedicated exclusively to the financial services market. Join the Financial Services Organisation (FSO) and you will work with multi-disciplinary teams from around the world to deliver a global perspective to a range of high-profile companies. We provide a highly integrated team, combining the knowledge from across our service lines to provide advice and guidance to key industry groups including wealth and asset management, banking, capital markets and insurance.
Apply and see where a career with FSO Advisory can take you!
What working at EY offers

Our Total Rewards package includes:
formal or informal flexible working options e.g. remote working, flexible start and finish times - https://www.ey.com/au/eyflexibility
career and learning development e.g. EY badges (https://www.ey.com/gl/eybadges), career mentoring
an extensive range of wellbeing and benefit offerings e.g. Salary packaging, parental leave and support, health checks
Who we are

EY is an inclusive and equal opportunity employer (https://www.ey.com/au/eydiversityInclusion) offering a vast range of internal networks including Ability EY, our disability network, Unity, our LGBTI network and our Aboriginal and Torres Strait Islander network enabling us all to embrace and value the diverse society we live within. If you have any support or access requirements, we encourage you to advise us at the time of application via contactrecruitment@au.ey.com or +61 1800 017 666.
Join us in building a better working world. Apply now!
The preferred applicant will be subject to employment screening by EY or by their external third-party provider. Regarding these opportunities, the minimum salary for more junior positions is $65,000 including 9.5% superannuation .
© 2019 Ernst & Young Australia. All Rights Reserved. Liability limited by a scheme approved under Professional Standards Legislation.",https://au.indeed.com/rc/clk?jk=74647571031c167f&fccid=1544766d4c2915b0&vjs=3,4.0
Data Scientist,Data Scientist,Eliiza,Sydney NSW,,$70000-$79999,,"In your role as a Data Scientist, you will be tasked with researching and delivering novel solutions to complex and ambiguous problems.

Within our company no two days will be the same, whether this be day to day tasks, industry you're working in or the tech stack you are using. That is why the most important skills you possess will be adaptability and eagerness to learn coupled with an inquisitive mind.

Here's an overview of some of the responsibilities you may have:


Interact closely with our customers and invent, implement and deploy machine learning algorithms and systems that help them achieve their goals
Perform pre-processing of data sources and make them ""machine learning ready""
Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your models and communicate results to customers
Represent Eliiza within the data and machine learning community

About you:

Understanding of statistical assumptions behind machine learning algorithms
Ability to manipulate complex data sets to model and visualise the data
Ability to write code in at least one open source language such as Python or R
Can interpret the business impact of statistical models and explain the underlying assumptions to a non technical audience
Excellent verbal and written communication skills
Strong time management skills with ability to prioritise workloads under pressure and meet deadlines
A self-starter who is hands on and knows how to find answers and work with ambiguity
Values driven and practical in your approach

Why Eliiza?


We make sure you're always one step ahead by investing on average $8.5k per individual, each year. We build our own training where it doesn't exist yet - it's in our best interest to teach you things you don't already know.
You and your family's health are most important to us. We know everyone is walking their own individual path in life, so we offer Flexible Leave for those times in your life when you need extra support.
We know you won't have one job for life. That's why we're building a group of companies with open borders - we can support you to take on new skills and challenges without leaving an awesome team.
We want each person to tailor their working conditions whether that be remotely every now and then, or on a permanent basis - we know how to actually do 'flexibility' not just talk about it.
We hire smart people and get out of their way. By focusing on our five principles and not getting caught up in red tape, we trust you to get the job done.
You'll get all the tools you need - a new iPhone or Google phone, a new Macbook Pro or Dell, and a lot of branded swag!

",https://au.indeed.com/rc/clk?jk=f6f8f4127422e92b&fccid=64168dd758c09ed0&vjs=3,
Data Scientist,Data Scientist,Sportsbet.com.au,Melbourne VIC,,$70000-$79999,,"Work type: Full time

Location: Melbourne

Categories: IT Infrastructure

Data Scientist

We are looking for a junior Data Scientist to help strengthen our Data Science capabilities and grow our impacts to Sportsbet business. The ideal candidate will have a passion for problem solving and research to continuously evolve, expand and improve our approach to modelling.

The Company

Sportsbet's purpose is to bring excitement to life for its customers and we do this by overdelivering on excitement through serious fun, disrupting the status quo and living our values. From the moment you walk in the door you'll see that fun is at the heart of the way we work. We’re a flexible, progressive, open-minded, and inclusive employer with over 7000 cool, clever and curious people around the world. We’re a global player, but in Melbourne, Sydney and Darwin we’re tight knit, with 700 of us bringing excitement to life every day.

Our commitment to responsible gambling is genuine and demonstrated through the wide range of responsible gambling initiatives and tools we offer that go over and above industry requirements. We care about our team members and customers and everyone at Sportsbet has a role to play in bringing our commitment to Responsible Gambling to life. Check out the tools and information we provide our customers to help manage their gambling on our dedicated site at https://responsiblegambling.sportsbet.com.au/hc/en-us

The Team

In the Data Science team we believe in using AI and Machine Learning to provide better experiences to our customers. We work with business stakeholders and engineers to innovate and develop algorithms and systems that improve business processes, help us better understand customers and create exciting and personalised experiences for them.

The role

They will be keen on identifying opportunities and conceiving novel ideas with stakeholders all around the business, be agile and not afraid thrive in a dynamic and challenging environment. Examples of problems they will solve include large-scale optimisation systems, real-time decision engines, real-time recommender system and predictive models that personalises customer experience and the ways Sportsbet engages with individuals. They have opportunities to shape the industry and positively impact customer life through models such as problem gambler prediction.

Strong knowledge of Machine Learning, algorithms, statistics

Candidates with backgroung in Operations Research or Optimisations are very welcomed.

Proficient in Python or similar programming languages

Practical experience applying analytics & algorithms to achieve commercial results

You

A customer-first & collaborative mindset

A passionate & willing-to-learn attitude

A team player that actively contributes to development of the team

The Perks

We don’t expect you to do this for free, so along with your salary we will also provide you with:

Best in class Parental Leave program with six months paid leave for Primary Carers

Tailored career development programs, and opportunities

25 days annual leave

Discounted Myki & gym memberships, free breakfast and loads of event, conference tickets and many more

What’s next?

To make sure you are the best person for Sportsbet and Sportsbet is the best for you our interview process includes, online assessments, videos, behavioural and technical interviews. This ensures all types of experiences can be considered for all roles and provides you with ample time to ask any questions.

We encourage you to apply immediately as we will begin shortlisting within 1-2 weeks of advertising.",https://au.indeed.com/rc/clk?jk=90621c5577011e04&fccid=8e3646ac1455f033&vjs=3,2.0
Data Scientist,"GAZ - APS5 - ACT/NSW/VIC/SA - Data Analysts, Data Scientists and Data Engineers",Department of Home Affairs,Canberra ACT,"$78,043 a year",$70000-$79999,,"Who can apply:

Please note this opportunity is available to current Australian Public Service employees and all eligible members of the community.
About the Department of Home Affairs:

Be part of something bigger: contribute to building a secure Australia that is prosperous, open and united.

Join a connected team of professionals, where you can be your authentic self; grow your career while making time for all parts of your life.
The Department of Home Affairs is a central policy agency, providing coordinated strategy and policy leadership for Australia's national and transport security, federal law enforcement, criminal justice, cyber security, border, immigration, multicultural affairs, emergency management and trade related functions.
The Department of Home Affairs includes the entirety of the Department of Immigration and Border Protection. It also includes national security, emergency management and criminal justice functions from the Attorney-General's Department; the Office of Transport Security from the Department of Infrastructure and Regional Development; multicultural affairs from the Department of Social Services; and the counter-terrorism coordination and cyber security policy functions from the Department of the Prime Minister and Cabinet.
Overview of the Branch and Section:
The Enterprise Analytics and Data Applications section, in the Data Science Branch, provides an operationally focused enterprise analytic capability. We work collaboratively across all border domains and the broader portfolio to continuously improve its data science capabilities with the aim to effectively inform and support decision makers.
We undertake research and development in the field of data science by applying new approaches, innovative techniques and technologies to departmental data. This includes developing and deploying end-to-end solutions in areas including, but not limited to, predictive analytics, computer vision, and natural language processing.
Data Science Branch is committed to high standards or integrity and ethical responsibility. We are leading efforts to improve accountability and transparency throughout the lifecycle of our analytic capabilities. This includes taking active measures to assess and counteract analytic bias within artificial intelligence (AI) and machine learning (ML) capabilities, ensuring high standards of integrity, and using data in an ethical and responsible manner.
Workforce diversity is critical to performance in our field. We continue to build a diverse and inclusive workforce across gender, culture, religion, identity and life experience domains. We invest heavily in our people recognising the critical role empowered staff play in leading innovation.
About the role:
There are several exciting opportunities to join the section as a Data Analyst, Data Scientist or Data Engineer.
You will have the opportunity to work across different border domains including cargo, mail, trade, traveller and visa. Using a variety of programming languages, software and systems you will extract, cleanse, match, analyse and interpret large volumes of data to support decision making. You will develop and deliver analytical products to support business lines across the portfolio, including Visa Programme areas, Intelligence Division and the Australian Border Force (ABF) operations.
Data Analysts undertake descriptive analysis and produce analytical reports to identify trends and patterns in data. They develop visualisations such as charts, tables and dashboards to support analysis.
Data Engineers design, develop and maintain software architectures to collect and analyse large data sets. This includes installing, testing and configuring scalable databases and data processing systems and creating software components to collect, parse, manage, analyse and visualise data.
Data Scientists apply advanced data science techniques including supervised and unsupervised machine learning, deep learning, graph analytics, geospatial analytics, text mining and visualisation to solve complex business problems. They develop predictive models to identify border threats and support operational decision-making.
Our ideal candidate:
The section is looking for people with strong analytical and problem solving skills who working with data and cutting edge technology. The ability to work well within a team, and to develop positive working relationships with others within and external to the Department is essential. You will be self-driven and have a commitment to innovation.
You will have a tertiary degree in data science, mathematics, computer science, engineering or a related discipline and have experience working with large data sets and have expertise in one or more programming languages.
Data analysts will have prior experience with data manipulation, reporting, charts and/or dashboards. For the data scientist role, you will have experience with the application of a range of data science and machine learning techniques. As a data engineer, you will have experience implementing end to end data flows, scheduling and data lineage in a data warehousing environment.
Specific duties/responsibilities:
Data Analysts
Undertake descriptive analysis to identify trends, patterns and anomalies in data
Develop analytical products including reports, charts and dashboards
Conduct quality assurance checks on data, and ensure compliance with record keeping procedures
Engage key stakeholders to manage, identify and correct data integrity issues
Develop technical tools/products to support reporting requirements
Data Engineers
Extract, Transform and Load (ETL) data from source systems
Conduct quality assurance checks on data, and ensure compliance with record keeping procedures
Work collaboratively with data scientists and ICT to deploy analytics and machine learning models into production systems
Develop extensive knowledge of relevant business processes
Data Scientists
Detect patterns and relationships in data using a range of statistical, predictive modelling, data mining and machine learning techniques to identify threats and risks
Build predictive analytic models to recognise patterns and assess likely business outcomes
Explore different analytic techniques to develop solutions that address business area requirements
Produce complex software program code/scripts to facilitate safe and secure data extraction and analytics
How to apply:

You are required to submit your application in Home Affairs’ online recruitment system (ourPeople). Prior to preparing your response it is recommended you review the Work Level Standards relevant to the classification you are applying to. It may also be useful to refer to the Integrated Leadership System information relevant to the classification.

As part of your application you will need to provide:
your CV
details of two referees
your Applicant Response document.
Applicant response:
As part of your application, you will be required to prepare a response document (minimum 11pt font in MSWord or PDF format), which you will upload in the next section.
Please ensure you read the instructions carefully, noting failure to address identified requirements may lead to your application being deemed ineligible.
Please prepare a one-page Applicant Response in relation to the advertised role, outlining:
how your skills, knowledge and experience will be relevant to this role
why you are interested in the role and what you can offer us
any specific examples or achievements that demonstrate your ability to perform the role.
Eligibility:

To be eligible to work with the Department of Home Affairs you must:
Be an Australian Citizen
Fulfil the Department’s minimum requirements by satisfactorily answering all screening questions during the application process
Obtain and maintain the required AGSVA clearance
Obtain and maintain a current Employment Suitability Clearance
Undergo a health assessment (where applicable).
Mandatory (and where applicable, role specific) screening questions are used within the application to ensure all successful applicants meet these minimum requirements of the Department.
Notes :

Remuneration: The Department offers an attractive remuneration package, including salary, superannuation benefits and flexible working conditions appropriate to the level of the position.
Information about employment in the Department of Home Affairs, and advice on how to apply for vacancies can be obtained from the department’s website at http://www.homeaffairs.gov.au/about/careers-recruitment
If you are experiencing problems submitting your application online, please email the nature of the issues you are experiencing to recruitment at recruitment@homeaffairs.gov.au . A response will be sent during business hours.
If you have identified as having a disability, please indicate whether you require any support throughout the selection process. For further information please contact Recruitment: recruitment@homeaffairs.gov.au",https://au.indeed.com/rc/clk?jk=958f6a9d50c08107&fccid=c6d3ddf86366234e&vjs=3,2.3
Data Scientist,Data Engineer - AlteryX & Tableau - Customer Data,The Recruitment Company,Sydney NSW,,$70000-$79999,,"Prestigious finance organization seeks a Data Engineer to join the Data Visualization team, working closely with the Data Scientist.

This is a high- profile role which will involve lots of interaction with different business units and stakeholders. You will be welcomed to present your ideas and solutions. Gain exposure to Snowflake.


Experience

Alteryx
Tableau
Solid experience building out Datasets and leveraging external data
Excellent communication and problem- solving skills


Desirable:

Coding in relevant languages (python, r etc.)

Snowflake

Predictive modelling experience

Experience working on Customer Behaviour, Customer Lifecycle & retention projects.


What is in it for you:

A unique greenfield opportunity in the Data & Analytics team. A brand new role that allows a rare chance to gain exposure in Data Science while interfacing with all parts of the business.

Competitive salary

Gain exposure in Snowflake


To be considered please send your CV to amj@therecruitmentcompany.com

Or text Anna-Maria on 0426 503 822. Thank you!",https://au.indeed.com/rc/clk?jk=630bb7a568ea113b&fccid=86b33657c5f56739&vjs=3,
Data Scientist,Data Scientist,Feedzai,Sydney NSW,,$80000-$89999,,"Feedzai is the market leader in fighting fraud with AI. We're coding the future of commerce with today's most advanced risk management platform powered by big data and machine learning. Founded and developed by data scientists and aerospace engineers, Feedzai has one mission: to make banking and commerce safe. The world's largest banks, processors, and retailers use Feedzai's fraud prevention and anti-money laundering products to manage risk, while improving customer Experience.

You are going to be in charge of making our clients happy and successful. Everything you do matters: all your code, machine learning models, advisory, management, and other actions/roles will have a material impact on the way our clients run their business and how effectively we fight fraud and protect people from wrongdoing. You will be able to interact and meet many people, from widely different cultures around the world and understand the business like few others. You will be able to say you protect people on a daily basis. You will be challenged with new technology, new processes, and new mindsets and will be asked to contribute to ensure continuous improvement. Full, holistic view and impact is what you will get within Customer Success. Come and change the world with us.

Responsibilities:

Understanding the data which our clients provide to us
Cleaning that data and validating that it is correct
Preprocessing the data, usually by using a mixture of shell scripts and a programming language such as Python, Java, Scala, etc
Iteratively computing features and tuning parameters to improve the quality of the model
Communicating your findings to the project manager and assisting him/her in decision making on the Data Science part of the project
Work together with the data scientists and engineers from our clients
A minimum of 30% travel is required

Qualifications:

MSc, or PhD in Computer Science, Electrical Engineering, Statistics, Applied Mathematics, Physics or similar technical discipline
Proficient in Machine Learning (training and testing, avoiding overfit, etc.)
Knowledge of Big Data technologies such as Spark, Hadoop and related
Proficiency in bash, Python and either Java or Scala
Knowledge of resource monitoring and runtime optimization (both at JVM and OS level) - knowledge of statistics or data visualization is a plus
Knowledge of Random Forests is a plus
Ability to communicate your findings in a clear way

Feedzai is an Equal Opportunity Employer.

Feedzai does not accept unsolicited resumes from recruiters or employment agencies.",https://au.indeed.com/rc/clk?jk=7d94bddabc812fb5&fccid=ad93a7e288dc7118&vjs=3,
Data Scientist,Data Analyst,ACT Government,Canberra ACT,"$79,253 - $83,888 a year",$80000-$89999,,"We are looking for a talented, capable and driven individual to play a key role to assist in transforming our approach to compliance as we leverage the enhanced analytics and data matching capability being delivered by the Business Intelligence team.
Supporting the Chief Data Scientist, the Business Intelligence Analyst will develop specialised reporting and analytics to optimise identification of compliance targets for investigation.
The Business Intelligence Analyst will be expected to be aware of best practice data analysis methodologies, frameworks, and approaches; and possess or have the capacity to develop an understanding of the ACT’s taxation regulatory requirements as they affect non-compliance.
Chief Minister, Treasury and Economic Development Directorate (CMTEDD) supports workforce diversity and is committed to creating an inclusive workplace. As part of this commitment, Aboriginal and Torres Strait Islander peoples, people with disability and those who identify as LGBTIQ are encouraged to apply.
Note: A merit pool will be established from this selection process and may be used to fill future identical vacancies over the next 12 months. Selection may be based on application and referee reports only. This position will be moving to a new workplace designed for activity-based working (ABW) in 2020. Under ABW arrangements, officers will not have a designated workstation/desk.
How to Apply: Please provide a two-page pitch demonstrating your experience and suitability to perform the role. Your pitch should include relevant examples that demonstrates the Technical and Behavioural capabilities set out in the Position Description.
Applications should be submitted via the Apply Now button below.
Apply Now",https://au.indeed.com/rc/clk?jk=39114329d8316cac&fccid=300562f153df6473&vjs=3,3.3
Data Scientist,IBM Research/Data Scientist - AI for Neurological Health,IBM,Melbourne VIC 3001,,$80000-$89999,,"Introduction
We are seeking a highly motivated and passionate researcher to join our AI for Health team. Our mission is to develop Artificial Intelligence (AI) technologies to help deliver top quality health care while mitigating the spiralling costs of the health care system. In order to make this a reality, we develop AI and advanced machine learning methodologies in collaboration with clinical researchers. We are seeking a proactive, enthusiastic researcher to contribute to our AI applications for health assessment and disease management. The candidate will dynamically work across disciplines and geographies to contribute towards developing the transformational ideas that will have impact on the world.

Your Role and Responsibilities

IBM Research/Data Scientist - AI for Neurological Health

Offered on a permanent regular employment basis or on a fixed term hire 24 Months basis

We are seeking a highly motivated and passionate researcher to join our AI for Health team. Our mission is to develop Artificial Intelligence (AI) technologies to help deliver top quality health care while mitigating the spiralling costs of the health care system. In order to make this a reality, we develop AI and advanced machine learning methodologies in collaboration with clinical researchers. We are seeking a proactive, enthusiastic researcher to contribute to our AI applications for health assessment and disease management. The candidate will dynamically work across disciplines and geographies to contribute towards developing the transformational ideas that will have impact on the world.

Job responsibilities

You will work with a team of established researchers to generate new ideas and will be expected to implement and communicate these ideas through software demos as well as scientific publications conference presentations, and contribute to IBM’s patent portfolio. You will contribute to the team strategy also supervise postdoctoral researchers and interns. Researchers have the opportunities to network not only with local colleagues but also have access to a global network of eminent, passionate and approachable researchers only too willing to share their knowledge. You will also have the opportunity to explore all IBM has to offer throughout the whole research-development-delivery pipeline.


Required expertise
Extensive knowledge and at least two years hands-on experience of developing and applying machine learning for analysing medical data.
Demonstrated domain knowledge in neurological diseases such as Alzheimer’s.
Expert level programming skills in Python and/or other programming languages.
Software maintenance and source control (such as Git).
Academic output documented via journal/conference publications in the field.

Required Qualifications:
A Doctorate degree in computer science or related field.
To apply:
Upload your CV, cover letter, academic transcript and your Right to Work document



EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.

Required Technical and Professional Expertise
As above


Preferred Technical and Professional Expertise
As above

About Business Unit
With more than 3,000 researchers in 12 labs located across six continents, IBM Research brings together hundreds of researchers who possess unparalleled industry expertise to address some of the world's most challenging problems. Join us as we do pioneering work in areas such as cognitive computing, augmented intelligence, quantum computing, and blockchain, to name a few.

Your Life @ IBM
You will work with a team of established researchers to generate new ideas and will be expected to implement and communicate these ideas through software demos as well as scientific publications conference presentations, and contribute to IBM’s patent portfolio. You will contribute to the team strategy also supervise postdoctoral researchers and interns. Researchers have the opportunities to network not only with local colleagues but also have access to a global network of eminent, passionate and approachable researchers only too willing to share their knowledge. You will also have the opportunity to explore all IBM has to offer throughout the whole research-development-delivery pipeline

About IBM
With more than 3,000 researchers in 12 labs located across six continents, IBM Research brings together hundreds of researchers who possess unparalleled industry expertise to address some of the world's most challenging problems. Join us as we do pioneering work in areas such as cognitive computing, augmented intelligence, quantum computing, and blockchain, to name a few.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",https://au.indeed.com/rc/clk?jk=30ed266144777001&fccid=de71a49b535e21cb&vjs=3,3.9
